Ref,x,y,z
142,0,0,2
143,0,0,4
144,0,0,2
145,0,0,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0,0,0
150,0,0,4
151,0,0,3
152,0,0,5
153,0,0,3
154,0,0,5
155,0,0,0
156,0,0,0
157,0,0,0
158,0,0,0
159,0,0,0
160,0,0,3
161,0,0,1
162,0,0,3
163,0,0,1
164,0,0,3
165,0,0,0
166,0,0,0
167,0,0,0
168,0,0,0
169,0,0,0
170,0,0,1
171,0,0,3
172,0,0,2
173,0,0,4
174,0,0,2
175,0,0,0
176,0,0,0
177,0,0,0
178,0,0,0
179,0,0,0
180,0,0,4
181,0,0,2
182,0,0,-4
183,0,0,2
184,0,0,-4
185,0,0,2
186,0,0,4
187,0,0,2
188,0,0,5
189,0,0,3
190,0,0,5
191,0,0,3
192,0,0,5
193,0,0,3
194,0,0,1
195,-3,0,0
196,0,0,-1
197,0,0,3
198,0,0,1
199,0,0,4
200,0,0,2
201,0,0,4
202,0,0,2
203,0,0,4
204,0,0,2
205,0,0,4
206,0,0,2
207,0,0,4
208,0,0,2
209,0,0,4
210,0,0,2
211,0,0,5
212,0,0,3
213,0,0,5
214,0,0,3
215,0,0,5
216,0,0,3
217,0,0,1
218,0,0,3
219,0,0,1
220,0,0,-3
221,0,0,1
222,0,0,4
223,0,0,2
224,0,0,4
225,0,0,2
226,0,0,4
227,0,0,2
228,0,0,4
229,0,0,2
230,0,0,4
231,0,0,2
232,0,0,4
233,0,0,3
234,0,0,5
235,0,0,3
236,0,0,5
237,0,0,3
238,0,0,1
239,0,0,3
240,0,0,1
241,0,0,3
242,0,0,1
243,0,0,3
244,0,0,2
245,0,0,4
246,0,0,2
247,0,0,4
248,0,0,2
249,0,0,4
250,0,0,2
251,0,0,4
252,0,0,2
253,0,0,4
254,0,0,2
255,0,0,5
256,0,0,3
257,0,0,5
258,0,0,3
259,0,0,5
260,0,0,3
261,0,0,1
262,0,0,3
263,0,0,1
264,0,0,-3
265,0,0,0
266,0,0,0
267,0,0,0
268,0,0,0
269,0,0,0
270,0,0,1
271,0,0,4
272,0,0,2
273,0,0,4
274,0,0,-2
275,0,0,0
276,0,0,0
277,0,0,0
278,0,0,0
279,0,0,0
280,0,0,4
281,0,0,2
282,0,0,4
283,0,0,2
284,0,0,-4
285,0,0,0
286,0,0,0
287,0,0,0
288,0,0,0
289,0,0,0
290,0,0,2
291,0,0,4
292,0,0,3
293,0,0,5
294,0,0,3
295,0,0,0
296,0,0,0
297,0,0,0
298,0,0,0
299,0,0,0
300,0,0,5
301,0,0,3
302,0,0,5
303,0,0,3
304,0,0,1
305,0,0,0
306,0,0,0
307,0,0,0
308,0,0,0
309,0,0,0
310,0,0,3
311,0,0,1
312,0,0,3
313,0,0,1
314,0,0,4
315,0,0,-2
316,0,0,-4
317,0,0,-2
318,0,0,4
319,0,0,-2
320,0,0,4
321,0,0,2
322,0,0,4
323,0,0,2
324,0,-4,0
325,-3,0,0
326,-5,0,0
327,0,0,3
328,-5,0,0
329,0,0,3
330,0,0,1
331,0,0,3
332,0,0,1
333,0,0,3
334,0,0,1
335,0,3,0
336,0,0,2
337,0,0,4
338,0,0,2
339,0,0,4
340,0,0,2
341,0,0,4
342,0,0,2
343,0,0,4
344,0,0,2
345,0,0,4
346,0,0,2
347,0,0,5
348,0,0,3
349,0,0,5
350,0,0,-3
351,0,0,-5
352,0,0,3
353,0,0,1
354,0,0,3
355,0,0,1
356,0,0,3
357,0,0,1
358,0,0,4
359,0,0,2
360,0,0,4
361,0,0,2
362,0,0,4
363,0,0,2
364,0,0,4
365,0,0,2
366,0,0,4
367,0,0,2
368,0,0,4
369,0,0,3
370,0,0,5
371,0,0,3
372,0,0,5
373,0,0,3
374,0,0,5
375,0,0,3
376,0,0,1
377,0,0,3
378,0,0,1
379,0,0,3
380,0,0,2
381,0,0,4
382,0,0,2
383,0,0,4
384,0,0,2
385,0,0,4
386,0,0,2
387,0,0,4
388,0,0,2
389,0,0,4
390,0,0,-2
391,0,0,-4
392,0,0,-3
393,0,0,-5
394,0,0,3
395,0,0,0
396,0,0,0
397,0,0,0
398,0,0,0
399,0,0,0
400,0,0,-5
401,0,0,-3
402,0,0,-1
403,0,0,-3
404,0,0,1
405,0,0,0
406,0,0,0
407,0,0,0
408,0,0,0
409,0,0,0
410,0,0,-3
411,0,0,-1
412,0,0,-3
413,0,0,-2
414,0,0,4
415,0,0,0
416,0,0,0
417,0,0,0
418,0,0,0
419,0,0,0
420,0,0,2
421,0,0,4
422,0,0,-2
423,0,0,4
424,0,0,2
425,0,0,0
426,0,0,0
427,0,0,0
428,0,0,0
429,0,0,0
430,0,0,4
431,0,0,2
432,0,0,-4
433,0,0,2
434,0,0,5
435,0,0,0
436,0,0,0
437,0,0,0
438,0,0,0
439,0,0,0
440,0,0,3
441,0,0,5
442,0,0,-3
443,0,0,5
444,0,0,-3
445,0,0,1
446,0,0,3
447,0,0,1
448,0,0,3
449,0,0,1
450,0,0,4
451,0,0,2
452,0,0,4
453,0,0,2
454,0,0,4
455,-2,0,0
456,-4,0,0
457,-2,0,0
458,-4,0,0
459,-2,0,0
460,0,0,4
461,0,0,3
462,0,0,5
463,0,0,3
464,0,0,5
465,-3,0,0
466,-5,0,0
467,0,0,-3
468,0,0,-1
469,0,0,-3
470,0,0,1
471,0,0,3
472,0,0,2
473,0,0,4
474,0,0,2
475,0,0,4
476,-2,0,0
477,0,0,-4
478,0,0,-2
479,0,0,-4
480,0,0,-2
481,0,0,-4
482,0,0,2
483,0,0,5
484,0,0,3
485,0,0,5
486,0,0,-3
487,0,0,-5
488,0,0,-3
489,0,0,-1
490,0,0,3
491,0,0,1
492,0,0,3
493,0,0,1
494,0,0,3
495,0,0,2
496,0,0,-4
497,0,0,-2
498,0,0,-4
499,0,0,-2
500,0,0,4
501,0,0,2
502,0,0,4
503,0,0,2
504,0,0,4
505,0,0,2
506,0,0,-5
507,0,0,-3
508,0,0,-5
509,0,0,-3
510,0,0,5
511,0,0,3
512,0,0,1
513,0,0,3
514,0,0,1
515,0,0,3
516,0,-1,0
517,0,0,-4
518,0,0,-2
519,0,0,-4
520,0,0,2
521,0,0,4
522,0,0,2
523,0,0,4
524,0,0,-2
525,0,0,4
526,0,0,2
527,0,-4,0
528,0,0,3
529,0,0,5
530,0,0,3
531,0,0,5
532,0,0,3
533,0,0,5
534,0,0,-3
535,0,0,1
536,0,0,3
537,0,0,1
538,0,0,3
539,0,0,2
540,0,0,4
541,0,0,2
542,0,0,4
543,0,0,2
544,0,0,-4
545,0,0,2
546,0,0,4
547,0,0,2
548,0,0,4
549,0,0,2
550,0,0,5
551,0,0,3
552,0,0,5
553,0,0,3
554,0,0,-5
555,0,0,3
556,0,0,1
557,0,0,3
558,0,0,1
559,0,0,3
560,0,0,1
561,0,0,3
562,0,0,2
563,0,0,4
564,0,0,-2
565,0,0,4
566,2,0,0
567,4,0,0
568,2,0,0
569,4,0,0
570,0,0,2
571,0,0,4
572,0,0,2
573,0,0,5
574,0,0,3
575,0,0,-5
576,0,0,-3
577,0,0,-5
578,0,0,-3
579,0,0,-1
580,0,0,3
581,0,0,1
582,0,0,3
583,0,0,1
584,0,0,4
585,-2,0,0
586,-4,0,0
587,-2,0,0
588,-4,0,0
589,-2,0,0
590,0,0,-4
591,0,0,2
592,0,0,4
593,0,0,2
594,0,0,4
595,-3,0,0
596,-5,0,0
597,-3,0,0
598,-5,0,0
599,-3,0,0
600,0,0,5
601,0,0,3
602,0,0,1
603,0,0,3
604,0,0,1
605,0,0,3
606,-2,0,0
607,-4,0,0
608,-2,0,0
609,-4,0,0
610,0,0,-2
611,0,0,-4
612,0,0,2
613,0,0,4
614,0,0,2
615,0,0,4
616,-2,0,0
617,-5,0,0
618,-3,0,0
619,-5,0,0
620,0,0,-3
621,0,0,-5
622,0,0,3
623,0,0,1
624,0,0,3
625,0,0,1
626,-3,0,0
627,-1,0,0
628,0,0,4
629,-2,0,0
630,0,0,-4
631,0,0,-2
632,0,0,4
633,0,0,2
634,0,0,4
635,0,0,2
636,0,0,4
637,0,0,2
638,0,0,4
639,0,0,2
640,0,0,5
641,0,0,3
642,0,0,5
643,0,0,3
644,0,0,5
645,0,0,3
646,0,0,1
647,0,0,3
648,0,0,1
649,0,0,3
650,0,0,-1
651,0,0,-4
652,0,0,-2
653,0,0,4
654,0,0,-2
655,0,0,4
656,0,-2,0
657,0,0,4
658,0,0,2
659,0,-4,0
660,0,0,-2
661,0,0,-4
662,0,0,-3
663,0,0,5
664,0,0,-3
665,0,0,5
666,0,0,3
667,0,0,1
668,0,0,3
669,0,-1,0
670,0,0,-3
671,0,0,-1
672,0,0,-3
673,0,0,2
674,0,0,-4
675,0,0,2
676,0,0,4
677,0,0,2
678,0,0,4
679,0,0,2
680,0,0,-4
681,0,0,-2
682,0,0,-4
683,0,0,2
684,0,0,-5
685,0,0,3
686,0,0,5
687,0,0,3
688,0,0,5
689,0,0,-3
690,0,0,-1
691,0,0,-3
692,0,0,-1
693,0,0,3
694,0,0,-1
695,0,0,4
696,0,0,2
697,0,0,4
698,0,0,-2
699,0,0,-4
700,0,0,-2
701,0,0,-4
702,0,0,-2
703,0,0,4
704,0,0,2
705,0,0,-4
706,0,0,-3
707,0,0,-5
708,0,0,-3
709,0,0,-5
710,0,0,-3
711,0,0,-5
712,0,0,-3
713,0,0,1
714,0,-3,0
715,0,0,1
716,0,0,3
717,0,0,1
718,0,0,4
719,0,0,-2
720,0,0,-4
721,0,0,-2
722,0,0,-4
723,0,0,2
724,4,0,0
725,0,0,2
726,0,0,-4
727,0,0,-2
728,0,0,-4
729,0,0,-3
730,0,0,5
731,0,0,-3
732,0,0,5
733,0,0,3
734,0,0,1
735,0,0,-3
736,0,0,-1
737,0,0,-3
738,0,0,-1
739,0,0,-3
740,0,0,2
741,0,0,4
742,0,0,2
743,0,0,4
744,0,0,2
745,0,0,-4
746,0,0,-2
747,0,0,-4
748,0,0,-2
749,0,0,-4
750,0,0,2
751,0,0,-5
752,0,0,3
753,0,0,5
754,0,0,3
755,0,0,5
756,0,0,-3
757,0,0,-1
758,0,0,-3
759,0,0,-1
760,0,0,3
761,0,0,-1
762,0,0,4
763,0,0,2
764,0,0,4
765,0,0,2
766,0,0,-4
767,0,0,-2
768,0,0,-4
769,0,0,-2
770,0,0,4
771,0,0,2
772,0,0,4
773,0,0,3
774,0,0,5
775,0,0,3
776,-5,0,0
777,-3,0,0
778,-5,0,0
779,-3,0,0
780,0,0,0
781,0,0,0
782,0,0,0
783,0,0,1
784,0,0,-3
785,0,0,1
786,0,0,3
787,0,0,2
788,0,0,4
789,0,-2,0
790,0,0,0
791,0,0,0
792,0,0,0
793,0,0,4
794,0,0,-2
795,0,0,4
796,0,0,2
797,0,0,4
798,0,0,2
799,0,-4,0
800,0,0,0
801,0,0,0
802,0,0,0
803,0,0,2
804,0,0,-4
805,0,0,3
806,0,0,5
807,0,0,3
808,0,0,5
809,0,0,3
810,0,0,0
811,0,0,0
812,0,0,0
813,0,0,1
814,0,0,-3
815,0,0,1
816,0,0,3
817,0,0,1
818,0,0,3
819,0,0,2
820,0,0,0
821,0,0,0
822,0,0,0
823,0,0,4
824,0,0,-2
825,0,0,4
826,0,0,2
827,0,0,4
828,0,0,2
829,0,0,4
830,0,0,0
831,0,0,0
832,0,0,0
833,0,0,2
834,0,0,-4
835,0,0,-2
836,0,0,-5
837,0,0,-3
838,0,0,-5
839,0,0,-3
840,0,0,0
841,0,0,0
842,0,0,0
843,0,0,5
844,0,-3,0
845,1,0,0
846,0,0,3
847,0,0,1
848,0,0,3
849,0,0,1
850,0,0,0
851,0,0,0
852,0,0,0
853,0,0,-4
854,2,0,0
855,-4,0,0
856,-2,0,0
857,0,0,4
858,0,0,2
859,4,0,0
860,0,0,2
861,0,0,4
862,0,0,-2
863,0,0,-4
864,0,0,3
865,0,0,5
866,0,0,3
867,0,0,5
868,0,0,3
869,-5,0,0
870,0,0,3
871,0,0,1
872,0,0,-3
873,0,0,1
874,0,0,3
875,0,0,2
876,0,0,4
877,0,0,2
878,0,0,4
879,-2,0,0
880,0,0,4
881,0,0,2
882,0,0,-4
883,0,0,2
884,0,0,4
885,0,0,2
886,0,0,4
887,0,0,3
888,0,0,5
889,3,0,0
890,0,0,5
891,0,0,3
892,0,0,-1
893,0,0,3
894,0,0,1
895,0,0,-3
896,0,0,-1
897,0,0,3
898,0,0,2
899,-4,0,0
900,0,0,2
901,0,0,4
902,0,0,-2
903,0,0,-4
904,0,0,2
905,0,0,4
906,-2,0,0
907,-4,0,0
908,-2,0,0
909,-5,0,0
910,0,0,0
911,0,0,0
912,0,0,0
913,0,0,-3
914,0,0,-5
915,0,0,3
916,0,0,5
917,0,0,3
918,0,0,1
919,0,-3,0
920,0,0,0
921,0,0,0
922,0,0,0
923,0,0,-1
924,0,0,-3
925,0,0,1
926,0,0,4
927,0,0,2
928,0,0,4
929,0,-2,0
930,0,0,0
931,0,0,0
932,0,0,0
933,0,0,-4
934,0,0,-2
935,0,0,4
936,0,0,2
937,0,0,4
938,0,0,2
939,0,-4,0
940,0,0,0
941,0,0,0
942,0,0,0
943,0,0,-3
944,0,0,-5
945,0,0,3
946,0,0,5
947,0,0,3
948,0,0,5
949,0,0,-3
950,0,0,0
951,0,0,0
952,0,0,0
953,0,0,-1
954,0,0,-3
955,0,0,1
956,0,0,3
957,0,0,2
958,0,0,-4
959,0,0,-2
960,0,0,0
961,0,0,0
962,0,0,0
963,0,0,-4
964,0,0,-2
965,0,0,-4
966,0,0,-2
967,0,0,-4
968,0,0,-2
969,0,0,-4
970,0,0,0
971,0,0,0
972,0,0,0
973,0,0,-2
974,0,-5,0
975,3,0,0
976,5,0,0
977,0,0,3
978,0,0,5
979,3,0,0
980,0,0,0
981,0,0,0
982,0,0,0
983,0,0,-1
984,3,0,0
985,-1,0,0
986,-3,0,0
987,-1,0,0
988,-3,0,0
989,-2,0,0
990,0,0,4
991,0,0,2
992,0,0,-4
993,0,0,-2
994,0,0,4
995,0,0,2
996,-4,0,0
997,0,0,2
998,0,0,4
999,-2,0,0
1000,0,0,5
1001,0,0,3
1002,0,0,5
1003,0,0,-3
1004,0,0,5
1005,0,0,3
1006,0,0,1
1007,0,0,3
1008,0,0,1
1009,-3,0,0
1010,0,0,1
1011,0,0,4
1012,0,0,-2
1013,0,0,-4
1014,0,0,2
1015,0,0,4
1016,0,0,2
1017,0,0,4
1018,0,0,2
1019,4,0,0
1020,0,0,2
1021,0,0,4
1022,0,0,3
1023,0,0,-5
1024,0,0,3
1025,0,0,5
1026,0,0,3
1027,0,0,5
1028,0,0,3
1029,-1,0,0
1030,0,0,3
1031,0,0,1
1032,0,0,3
1033,0,0,-2
1034,0,0,4
1035,0,0,2
1036,-4,0,0
1037,-2,0,0
1038,-4,0,0
1039,-2,0,0
1040,0,0,0
1041,0,0,0
1042,0,0,0
1043,0,0,4
1044,0,0,2
1045,0,0,4
1046,0,0,2
1047,0,0,5
1048,0,0,-3
1049,0,-5,0
1050,0,0,0
1051,0,0,0
1052,0,0,0
1053,0,0,3
1054,0,0,5
1055,0,0,3
1056,0,0,1
1057,0,0,3
1058,0,0,-1
1059,0,0,-3
1060,0,0,0
1061,0,0,0
1062,0,0,0
1063,0,0,1
1064,0,0,4
1065,0,0,2
1066,0,0,4
1067,0,0,-2
1068,0,0,-4
1069,0,0,-2
1070,0,0,0
1071,0,0,0
1072,0,0,0
1073,0,0,4
1074,0,0,2
1075,0,0,4
1076,0,0,2
1077,0,0,-4
1078,0,0,-2
1079,0,0,-5
1080,0,0,0
1081,0,0,0
1082,0,0,0
1083,0,0,3
1084,0,0,5
1085,0,0,3
1086,0,0,5
1087,0,0,-3
1088,0,0,-1
1089,0,0,-3
1090,0,0,0
1091,0,0,0
1092,0,0,0
1093,0,0,1
1094,0,0,-3
1095,0,0,1
1096,0,0,-4
1097,0,0,-2
1098,0,0,-4
1099,0,0,-2
1100,0,0,0
1101,0,0,0
1102,0,0,0
1103,0,0,4
1104,0,-2,0
1105,4,0,0
1106,2,0,0
1107,0,0,4
1108,0,0,2
1109,4,0,0
1110,0,0,0
1111,0,0,0
1112,0,0,0
1113,0,0,3
1114,5,0,0
1115,-3,0,0
1116,-5,0,0
1117,-3,0,0
1118,0,0,1
1119,-3,0,0
1120,0,0,1
1121,0,0,3
1122,0,0,1
1123,0,0,3
1124,0,0,2
1125,0,0,4
1126,-2,0,0
1127,0,0,4
1128,0,0,2
1129,-4,0,0
1130,0,0,-2
1131,0,0,-4
1132,0,0,2
1133,0,0,4
1134,0,0,2
1135,0,0,5
1136,0,0,3
1137,0,0,5
1138,0,0,3
1139,-5,0,0
1140,0,0,-3
1141,0,0,-1
1142,0,0,3
1143,0,0,1
1144,0,0,3
1145,0,0,1
1146,0,0,4
1147,0,0,2
1148,0,0,4
1149,-2,0,0
1150,0,0,-4
1151,0,0,-2
1152,0,0,4
1153,0,0,2
1154,0,0,4
1155,0,0,2
1156,0,0,4
1157,0,0,3
1158,0,0,5
1159,-3,0,0
1160,0,0,5
1161,0,0,3
1162,0,0,5
1163,0,0,3
1164,0,0,1
1165,0,0,3
1166,-1,0,0
1167,-3,0,0
1168,-1,0,0
1169,-4,0,0
1170,0,2,0
1171,0,4,0
1172,0,2,0
1173,0,-4,0
1174,0,2,0
1175,0,-4,0
1176,0,-2,0
1177,0,-4,0
1178,0,0,2
1179,0,-4,0
1180,0,0,3
1181,0,5,0
1182,0,3,0
1183,0,-5,0
1184,0,3,0
1185,0,-1,0
1186,0,-3,0
1187,0,0,1
1188,0,0,3
1189,0,-1,0
1190,3,0,0
1191,0,2,0
1192,0,4,0
1193,0,-2,0
1194,0,4,0
1195,0,-2,0
1196,0,-4,0
1197,0,0,2
1198,0,0,4
1199,0,0,2
1200,0,4,0
1201,2,0,0
1202,0,5,0
1203,0,-3,0
1204,0,5,0
1205,0,-3,0
1206,0,-5,0
1207,0,0,3
1208,0,0,1
1209,0,0,3
1210,1,0,0
1211,0,3,0
1212,0,1,0
1213,0,-4,0
1214,0,-2,0
1215,0,0,4
1216,0,0,2
1217,0,0,4
1218,0,0,2
1219,0,0,4
1220,-2,0,0
1221,-4,0,0
1222,-2,0,0
1223,0,-4,0
1224,0,-3,0
1225,0,0,5
1226,0,0,3
1227,0,0,5
1228,0,0,3
1229,0,0,5
1230,-3,0,0
1231,-1,0,0
1232,-3,0,0
1233,0,0,-1
1234,0,-3,0
1235,0,-1,0
1236,0,-4,0
1237,0,0,2
1238,0,0,4
1239,0,0,2
1240,4,0,0
1241,0,2,0
1242,-4,0,0
1243,0,-2,0
1244,0,-4,0
1245,0,-2,0
1246,0,-4,0
1247,0,0,3
1248,0,0,5
1249,0,0,3
1250,-5,0,0
1251,-3,0,0
1252,-1,0,0
1253,0,0,3
1254,0,0,1
1255,0,0,3
1256,0,0,1
1257,0,0,3
1258,0,0,2
1259,-4,0,0
1260,0,0,2
1261,0,0,4
1262,0,0,2
1263,0,0,4
1264,0,0,2
1265,0,0,4
1266,0,0,2
1267,0,0,4
1268,0,0,2
1269,-5,0,0
1270,0,0,3
1271,0,0,5
1272,0,0,3
1273,0,0,5
1274,0,0,3
1275,0,0,1
1276,0,0,3
1277,0,0,1
1278,0,0,3
1279,-1,0,0
1280,0,0,4
1281,0,0,2
1282,0,0,4
1283,0,0,2
1284,0,0,4
1285,0,0,2
1286,0,0,4
1287,0,0,2
1288,0,0,4
1289,0,0,2
1290,0,0,4
1291,0,0,3
1292,0,0,5
1293,0,0,3
1294,0,0,5
1295,0,0,3
1296,-5,0,0
1297,-3,0,0
1298,-1,0,0
1299,-3,0,0
1300,0,0,-1
1301,0,3,0
1302,2,0,0
1303,0,-4,0
1304,0,0,-2
1305,0,0,-4
1306,0,0,-2
1307,0,0,-4
1308,0,0,-2
1309,0,0,-4
1310,0,0,-2
1311,4,0,0
1312,2,0,0
1313,0,-4,0
1314,0,0,-3
1315,0,0,-5
1316,0,0,-3
1317,0,0,-5
1318,0,0,-3
1319,0,0,-1
1320,3,0,0
1321,1,0,0
1322,3,0,0
1323,0,-1,0
1324,0,0,-3
1325,0,0,-2
1326,0,0,-4
1327,0,0,-2
1328,0,0,-4
1329,0,0,-2
1330,4,0,0
1331,2,0,0
1332,4,0,0
1333,0,-2,0
1334,0,0,-4
1335,0,0,-2
1336,0,0,-5
1337,0,0,-3
1338,0,0,-5
1339,0,0,-3
1340,0,5,0
1341,0,3,0
1342,1,0,0
1343,0,-3,0
1344,0,0,-1
1345,0,0,-3
1346,0,0,-1
1347,0,0,-4
1348,0,0,-2
1349,0,0,-4
1350,-2,0,0
1351,-4,0,0
1352,-2,0,0
1353,-4,0,0
1354,0,0,-2
1355,0,0,-4
1356,0,0,-2
1357,0,0,-4
1358,0,0,-3
1359,0,0,-5
1360,0,0,3
1361,-5,0,0
1362,-3,0,0
1363,-5,0,0
1364,0,0,-3
1365,0,0,-1
1366,0,0,-3
1367,0,0,-1
1368,0,0,-3
1369,0,0,-2
1370,0,0,4
1371,0,2,0
1372,0,-4,0
1373,0,-2,0
1374,0,0,4
1375,0,0,-2
1376,0,0,-4
1377,0,0,-2
1378,0,0,-4
1379,0,0,-2
1380,0,0,-5
1381,0,3,0
1382,-5,0,0
1383,0,0,-3
1384,0,0,-5
1385,0,0,3
1386,0,0,1
1387,0,0,3
1388,0,0,1
1389,0,0,3
1390,0,0,-1
1391,0,0,-3
1392,0,0,-2
1393,0,0,-4
1394,0,0,-2
1395,0,0,4
1396,0,0,2
1397,0,0,4
1398,0,0,2
1399,0,0,4
1400,0,0,-2
1401,0,0,-4
1402,0,0,-2
1403,0,0,-5
1404,0,0,-3
1405,0,0,5
1406,0,0,3
1407,0,0,5
1408,0,0,3
1409,0,0,1
1410,0,0,-3
1411,0,0,-1
1412,0,0,-3
1413,0,0,-1
1414,0,0,-4
1415,0,0,2
1416,0,0,4
1417,0,0,2
1418,0,0,4
1419,0,0,2
1420,0,0,-4
1421,0,0,-2
1422,0,0,-4
1423,0,0,-2
1424,0,0,-4
1425,0,0,3
1426,0,0,5
1427,-3,0,0
1428,0,0,5
1429,-3,0,0
1430,0,0,0
1431,0,0,0
1432,0,0,0
1433,0,0,0
1434,0,0,0
1435,0,0,0
1436,0,0,0
1437,0,0,0
1438,0,0,5
1439,0,-3,0
1440,0,0,0
1441,0,0,0
1442,0,0,0
1443,0,0,0
1444,0,0,0
1445,0,0,0
1446,0,0,0
1447,0,0,0
1448,0,0,1
1449,0,0,3
1450,0,0,0
1451,0,0,0
1452,0,0,0
1453,0,0,0
1454,0,0,0
1455,0,0,0
1456,0,0,0
1457,0,0,0
1458,0,0,1
1459,3,0,0
1460,0,0,0
1461,0,0,0
1462,0,0,0
1463,0,0,0
1464,0,0,0
1465,0,0,0
1466,0,0,0
1467,0,0,0
1468,2,0,0
1469,4,0,0
1470,0,0,0
1471,0,0,0
1472,0,0,0
1473,0,0,0
1474,0,0,0
1475,0,0,0
1476,0,0,0
1477,0,0,0
1478,2,0,0
1479,-4,0,0
1480,2,0,0
1481,0,0,-4
1482,0,2,0
1483,0,0,-4
1484,0,0,-2
1485,0,0,-4
1486,0,0,-2
1487,0,0,-5
1488,0,0,-3
1489,-5,0,0
1490,-3,0,0
1491,0,0,5
1492,0,0,3
1493,0,0,-1
1494,0,0,-3
1495,0,0,-1
1496,0,0,-3
1497,0,0,-1
1498,0,0,-4
1499,0,0,-2
1500,0,0,4
1501,0,0,2
1502,0,0,4
1503,0,0,-2
1504,0,0,-4
1505,0,0,-2
1506,0,0,-4
1507,0,0,-2
1508,0,0,-4
1509,0,0,-2
1510,0,0,0
1511,0,0,0
1512,0,0,0
1513,0,0,0
1514,0,0,0
1515,0,0,-5
1516,0,0,3
1517,0,0,5
1518,0,0,-3
1519,0,0,-5
1520,0,0,0
1521,0,0,0
1522,0,0,0
1523,0,0,0
1524,0,0,0
1525,0,0,-3
1526,0,0,1
1527,0,0,3
1528,0,0,-1
1529,0,0,-3
1530,0,0,0
1531,0,0,0
1532,0,0,0
1533,0,0,0
1534,0,0,0
1535,0,0,-1
1536,0,0,4
1537,0,0,2
1538,0,0,-4
1539,0,0,-2
1540,0,0,0
1541,0,0,0
1542,0,0,0
1543,0,0,0
1544,0,0,0
1545,0,0,-4
1546,0,0,2
1547,0,0,4
1548,0,0,-2
1549,0,0,-4
1550,0,0,0
1551,0,0,0
1552,0,0,0
1553,0,0,0
1554,0,0,0
1555,0,0,-2
1556,0,0,4
1557,0,0,3
1558,0,0,5
1559,0,0,-3
1560,0,0,0
1561,0,0,0
1562,0,0,0
1563,0,0,0
1564,0,0,0
1565,0,0,0
1566,0,0,0
1567,0,0,0
1568,0,0,5
1569,0,-3,0
1570,0,0,0
1571,0,0,0
1572,0,0,0
1573,0,0,0
1574,0,0,0
1575,0,0,0
1576,0,0,0
1577,0,0,0
1578,0,0,1
1579,0,0,3
1580,0,0,0
1581,0,0,0
1582,0,0,0
1583,0,0,0
1584,0,0,0
1585,0,0,0
1586,0,0,0
1587,0,0,0
1588,0,0,1
1589,0,0,3
1590,0,0,0
1591,0,0,0
1592,0,0,0
1593,0,0,0
1594,0,0,0
1595,0,0,0
1596,0,0,0
1597,0,0,0
1598,0,0,1
1599,3,0,0
1600,0,0,0
1601,0,0,0
1602,0,0,0
1603,0,0,0
1604,0,0,0
1605,0,0,0
1606,0,0,0
1607,0,0,0
1608,2,0,0
1609,0,0,4
